Milliseconds,X,Y,Z
1,-0.65153503,5.833084,7.7688293
10,-0.2926941,6.0105896,8.229828
20,0.2000885,5.804291,7.821106
30,0.45845032,5.9290466,6.9085846
40,0.5589142,5.751526,6.3572693
50,0.62590027,5.804291,5.877243
60,0.8459778,5.741928,5.4875336
70,0.8842621,5.6795654,5.69664
80,1.0277863,5.727539,6.490341
90,1.3339844,5.689163,6.9561157
100,1.2957153,5.7179413,6.9798737
110,1.0708618,5.8906555,7.7260437
120,0.98472595,6.1785126,7.274536
131,1.022995,6.1017456,7.531189
140,1.2095947,6.3080444,7.169983
150,1.7693787,6.1305237,6.552124
160,2.1712646,5.9290466,6.79451
170,2.7788696,5.7851105,8.120529
180,2.9367676,5.948227,8.928482
190,3.1664276,5.8090973,9.608124
201,3.415207,5.6795654,9.418015
210,3.6305084,5.4972534,8.833435
220,3.7644806,5.1806183,8.514999
230,3.7309723,5.218994,7.9351654
240,3.6783447,5.137436,7.540695
250,3.9367065,4.571335,7.274536
260,4.118515,4.441803,7.626236
271,4.3003235,4.7488403,7.5882263
280,4.721344,4.600113,7.2079926
290,5.2093506,4.393814,6.7802734
300,5.6686554,4.11557,6.4855804
310,6.051422,3.971634,6.556885
320,6.443741,3.8612823,7.4028625
330,1.5014496,4.494568,4.4419403
341,0.4919281,5.036682,7.2270203
350,0.5110779,5.4061127,10.349548
360,2.0660095,5.185425,8.55777
370,5.0993195,4.9071503,8.9474945
380,5.5107727,4.835205,8.999786
390,5.3050537,5.1806183,8.899963
401,5.1950073,5.44928,8.424698
410,5.1327972,5.415695,7.7688293
420,4.0419617,5.6075897,7.8020935
430,3.410431,5.87146,8.415192
440,2.381775,6.120941,9.161362
450,0.5158539,6.7782135,8.391434
460,0.9464569,6.6054993,7.806839
470,1.9320374,6.226486,5.663376
480,4.711792,5.977005,2.8877869
490,4.9749146,6.2072906,2.71669
500,5.257202,5.9962006,3.46286
510,5.6686554,5.857071,4.2898407
520,6.25235,5.833084,4.551239
530,7.151825,6.1401367,4.9409637
540,6.5681305,6.5959015,4.494217
551,6.453308,7.454666,6.000824
560,6.6351166,8.212677,6.0435944
570,6.812134,8.620453,5.986557
580,6.3958893,9.124207,6.0863647
