Milliseconds,X,Y,Z
1,-1.2931519,7.7108,7.181885
11,-1.030014,7.576477,7.314972
21,-0.62812805,7.6100616,6.9347687
31,-0.36019897,7.528488,6.24086
41,-0.3075714,7.5189056,5.518448
52,-0.43675232,7.706009,5.1620026
61,-0.6329193,7.7395935,5.1097107
71,-0.6903229,7.758789,5.261795
81,-0.7812195,7.7299957,5.2095184
91,-0.8242798,7.6868134,5.565979
101,-0.6233368,7.4421387,5.779846
111,-0.4606781,7.39415,6.12204
121,-0.2501526,7.279022,6.663864
131,-0.015716553,7.2166595,6.8397064
141,0.123031616,7.144699,6.968033
151,0.16130066,6.9671783,6.8397064
162,0.118255615,7.0199585,6.7066193
171,0.05126953,7.0583344,6.6543427
181,0.03691101,7.091919,6.5022583
191,0.21392822,7.053543,6.2598724
201,0.5536194,7.015167,6.0887756
211,0.9555054,6.986374,6.207596
221,1.3908997,6.947998,6.207596
231,1.7257996,6.856842,6.7161255
241,2.0033112,6.7464905,7.6809387
251,2.1181335,6.6937256,8.118179
262,2.1611786,6.6937256,8.094421
271,2.0272217,6.7848663,7.942337
281,1.9793701,6.6793213,7.7474823
291,1.6923065,6.775284,7.5336
301,1.3478394,6.5737762,7.096344
311,1.2569275,6.8472443,6.949005
321,1.3382721,6.88562,6.507019
331,1.5679169,6.9671783,6.397705
341,1.9123993,7.0199585,6.2598724
351,2.3334198,6.895218,6.7636566
361,2.3238525,6.9671783,6.930008
372,2.1946716,6.914398,6.925247
381,2.3573456,6.8616333,7.1248627
391,2.6252747,6.842453,7.4527893
401,2.7592316,6.789673,6.7161255
411,2.5965576,6.8376465,6.6115723
421,2.108551,6.8136597,6.587799
431,1.5487823,6.8904266,6.949005
441,1.1899414,6.9288025,6.868225
451,0.9555054,7.115906,6.4167175
461,0.91244507,7.259842,6.483261
472,1.2138672,7.3605804,6.492752
481,1.6875305,7.250244,6.3359222
491,2.673111,7.0247498,6.0317383
501,3.5199585,7.07753,5.941437
511,3.8931274,7.144699,6.673355
521,3.869217,7.168686,6.098282
531,3.7735138,7.470932,7.2199097
541,3.6252136,6.947998,6.407196
551,3.309433,6.6889343,7.048828
562,2.869278,6.6793213,6.977524
571,2.577423,6.5497894,6.896744
581,2.634842,6.554596,6.483261
591,2.740097,6.2715454,6.302658
601,2.869278,6.204376,6.526016
611,2.7544556,6.3627014,6.430969
621,2.6826782,6.5066223,6.6210785
631,2.5008698,6.4298553,7.300705
641,2.2664337,6.5066223,7.395767
651,2.175537,6.4874268,7.3577576
661,2.142044,6.592972,7.129608
671,2.2377472,6.660141,6.71138
681,2.3334198,6.544998,6.915741
691,2.4099731,6.568985,6.7921753
701,2.5295868,6.51622,6.8302
711,2.534378,6.67453,6.8206787
721,2.5582886,6.5354004,6.882477
731,2.5917816,6.568985,7.4052734
741,2.6683197,6.7225037,7.010803
751,2.5534973,6.7800903,7.110611
762,2.6587524,6.818466,6.6686096
771,2.835785,6.8376465,6.1362915
781,3.0175934,7.1063232,6.0555115
791,3.5247498,7.4517365,4.08313
801,4.2136993,7.39415,7.148636
