Milliseconds,X,Y,Z
1,-3.354721,7.392273,6.699463
51,-2.086853,7.3395233,5.5350494
101,-2.153839,7.1476135,6.0531006
151,-0.42189026,7.3826904,5.9295197
201,-0.048690796,6.3320312,6.000824
251,-2.6562042,5.847473,7.806839
301,-1.6036377,5.6939545,8.895218
351,0.56848145,7.3299103,6.36203
401,0.008712769,6.5862885,7.055908
451,-0.23049927,7.3203278,9.513077
501,1.252655,7.0468597,6.5378723
552,2.3961334,7.411484,7.5644684
601,2.3052368,7.665741,5.829712
651,2.520523,7.804886,6.328766
701,3.6687775,8.303833,5.6918945
751,3.9701996,8.50531,5.2926636
801,4.0036926,8.582077,4.118744
851,3.2333984,8.236664,1.6853485
901,3.3960724,8.76918,5.0407715
952,1.8459167,8.82196,0.6540222
1001,2.3052368,8.342209,2.027542
1051,2.448761,9.191376,1.7281342
1101,2.2669525,9.392868,1.4809875
1151,2.5061646,9.675919,2.4172668
1201,2.750183,9.071426,1.9420013
1252,2.3291473,9.148193,1.1578064
1301,2.4344025,9.234543,1.7281342
1351,2.180832,9.6471405,1.585556
1402,2.281311,9.397675,2.0608215
1451,2.2382507,9.421646,1.0770111
1501,1.9655304,9.4648285,0.96769714
1551,1.1043396,8.495728,0.2785492
1602,-7.378418,0.34469604,1.1863251
1651,-19.411179,-21.16272,-10.457825
1701,15.64415,-14.417374,7.6309967
1751,55.50302,-3.4069824,7.9019012
1801,28.786896,9.954178,3.1777039
1852,16.227844,6.864563,-2.1358185
1901,11.185089,4.1059723,-0.011367798
1951,9.189972,0.48381042,2.4980621
2001,8.568008,0.9635773,1.2005768
2051,10.199493,1.3617706,1.9467621
2102,11.735291,2.7002869,1.0675049
2151,13.878708,4.302658,2.7071838
2201,14.070068,6.226486,1.9752808
2251,13.1418915,7.6609497,0.8108673
2301,9.486618,6.6870575,2.6026306
2351,4.9605713,5.804291,0.60647583
2401,2.051651,4.0435944,0.5161743
2452,0.4823761,5.123047,2.1558838
2502,-0.69459534,5.8426666,-0.6624756
2551,-1.4792328,6.6102753,0.6349945
2601,-1.818924,7.8960266,0.7633209
2652,-2.7231903,6.840576,0.44966125
2701,-4.37381,5.022293,-1.4751892
2752,-14.741608,-15.357697,0.8393707
2801,-4.9670715,-48.086563,3.2299805
2851,72.47807,-14.767593,-16.5318
2901,46.680573,12.122681,17.678238
2952,23.021698,14.089661,-4.374359
3001,11.783127,4.9215546,-3.3715363
3051,8.477112,0.57977295,2.4838104
3101,9.003403,0.028045654,-0.03036499
3151,8.687622,-0.06311035,0.159729
3202,9.156494,1.486496,0.95344543
