Milliseconds,X,Y,Z
2,-1.0656433,5.34198,8.532364
102,-0.11833191,3.9219055,6.9449615
202,-0.63983154,3.4949188,8.698715
302,1.9150391,5.0205536,9.497162
402,2.249939,5.274811,8.632172
503,1.8289185,5.8457184,7.420227
602,3.4316864,5.433136,8.090363
702,2.613556,7.4145203,4.6541595
802,3.0202332,7.0403137,5.804306
902,3.15419,8.023804,2.6057434
1002,5.3311005,10.177902,1.9641266
1102,3.713974,8.85379,1.1989441
1202,3.8622894,9.587799,1.888092
1303,3.7809448,10.600098,2.4631653
1402,2.249939,9.256775,1.0896149
1502,2.407837,9.62619,0.462265
1602,-0.9986572,6.742859,-0.16984558
1702,-3.6348877,-14.97084,11.450531
1802,33.5878,15.498383,5.01062
1902,5.881317,7.0882874,1.0896149
2003,5.6755676,3.888321,0.49552917
2102,8.522293,5.95607,1.0706177
2202,8.637131,6.27269,1.4080658
2302,9.306931,7.2130127,1.0325928
2402,10.670486,8.508362,3.042984
2502,8.373978,9.419891,5.809067
2602,2.948471,8.988113,-13.605759
2702,5.173218,-9.51123,-19.912613
2802,13.086609,-7.371521,32.699905
2902,17.33995,11.861847,0.3719635
3002,5.149292,9.779694,-28.496002
3103,17.072021,0.06468201,15.01033
3202,8.684967,6.6181183,6.3698883
3302,6.364517,6.838806,-0.9778137
3402,7.441025,6.8148193,-1.4197998
3503,8.072556,7.6783905,1.0183411
3602,9.981537,15.738266,5.3195343
3702,10.302109,7.20343,6.7691193
3802,-2.2330322,-7.7553406,-24.646301
3902,14.899902,-5.1790466,30.984177
4003,12.833038,14.505295,-9.689529
4102,-1.6015015,-0.28074646,-26.813538
4202,18.842255,-1.1922913,26.231476
4302,15.8376465,16.342758,-4.8845367
4402,6.441086,5.447525,-6.638275
4502,7.0295563,4.8957977,4.0173035
4602,7.086975,6.944351,1.5553894
4703,8.225662,7.755142,0.99458313
4802,10.378647,15.431213,5.081894
4902,7.2113647,12.994064,-2.00914
5002,-2.017746,-16.539642,-18.653137
5102,18.42601,-9.482437,36.582886
5202,13.92868,17.187119,-18.520065
5303,3.943634,3.6052704,-36.80374
5402,19.832626,3.9219055,18.34671
5502,5.445923,7.332962,0.9517975
5602,6.4362946,6.493393,-1.6811981
5702,6.8333893,6.862793,1.5696411
5803,9.364349,10.979095,4.359482
5902,8.876343,16.865692,2.6057434
6002,5.0583954,3.2646332,-1.6004028
6102,-5.826126,-24.374039,6.488693
6202,33.793518,19.38919,1.7359924
6302,13.660736,18.923828,1.512619
6402,6.5941925,4.6511383,0.9660492
6502,7.350128,4.531189,0.69989014
6603,7.948181,5.7833557,0.5383148
6702,6.9769287,6.3974457,0.56207275
6802,7.4314423,6.2631073,0.68089294
6902,9.000748,10.489746,3.8462067
7002,12.990936,19.240479,4.877533
7102,2.9963074,-5.121475,-22.51709
7202,4.8717957,-22.11438,22.410294
7303,22.416214,9.026489,15.205185
7403,13.44545,8.02861,-21.485764
7502,-0.16616821,-3.8597107,-23.562683
7602,27.391983,4.6415405,13.731842
7702,7.555847,6.0664062,5.7045135
7803,5.9004364,5.1740723,-0.2934265
7902,7.5749817,7.371338,0.058288574
8002,7.7041626,8.263687,1.7740173
8103,9.574875,12.437561,2.1875
8202,5.6755676,15.3784485,6.0086823
8303,-4.9075317,-2.1805725,-19.855576
8402,5.4985504,-8.570908,-17.978241
8502,21.234467,3.7923737,41.487686
8603,13.7994995,14.519684,-33.633698
8702,5.512909,-9.041077,-9.209503
8802,25.8275,1.3456116,38.056213
8902,15.765884,15.642319,-19.370804
9002,7.555847,3.7443848,1.607666
9103,6.5319824,4.334488,3.3186493
9204,7.2639923,6.622925,2.311081
9302,6.8381805,7.112274,1.5791473
9402,6.6228943,6.560547,2.8576202
9502,6.484131,7.673584,4.9108124
9603,4.685211,5.8889008,5.685501
9702,3.981903,5.6250305,6.3793945
9803,3.8718567,5.562668,6.750107
9902,3.8862152,5.6346283,8.270966
10002,3.9053345,6.143158,7.6103516
